label,reviews
1,이 옷 입을까
0,이 옷 입을래
0,난 이 옷 좋아
1,이 옷은 어때
1,이 색 어울릴까
0,이 색 좋아
1,이 바지 어때
1,바지 입어볼까
1,셔츠 사야 할까
0,셔츠 마음에 들어
1,어떤 셔츠가 좋아
0,이 셔츠 마음에 들어
0,원피스 입어볼래
1,원피스 어때
0,이 원피스 마음에 들어
0,원피스 사야 해
1,이 재킷 어울릴까
0,재킷 마음에 들어
1,어떤 재킷이 좋아
0,재킷 입어볼래
1,신발 어때
0,신발 마음에 들어
0,이 신발 신어볼래
1,어떤 신발이 좋아
1,이 모자 어울릴까
0,모자 마음에 들어
1,어떤 모자가 좋아
0,모자 써볼래
1,코트 어때
0,코트 입어볼래
0,코트 마음에 들어
1,어떤 코트가 좋아
0,바지 어떤 게 좋아
1,바지 입어볼까
0,이 바지 마음에 들어
0,이 색 어울려
1,양말 어때
0,양말 마음에 들어
0,양말 신어볼래
1,어떤 양말이 좋아
1,스카프 어때
0,스카프 마음에 들어
1,어떤 스카프가 좋아
0,스카프 매볼래
1,장갑 어때
0,장갑 마음에 들어
1,어떤 장갑이 좋아
0,장갑 껴볼래
1,벨트 어때
0,벨트 마음에 들어
1,어떤 벨트가 좋아
0,벨트 매볼래
1,지갑 어때
0,지갑 마음에 들어
1,어떤 지갑이 좋아
0,지갑 써볼래
1,선글라스 어때
0,선글라스 마음에 들어
1,어떤 선글라스가 좋아
0,선글라스 써볼래
1,목걸이 어때
0,목걸이 마음에 들어
1,어떤 목걸이가 좋아
0,목걸이 해볼래
1,팔찌 어때
0,팔찌 마음에 들어
1,어떤 팔찌가 좋아
0,팔찌 차볼래
1,귀걸이 어때
0,귀걸이 마음에 들어
1,어떤 귀걸이가 좋아
0,귀걸이 해볼래
1,반지 어때
0,반지 마음에 들어
1,어떤 반지가 좋아
0,반지 껴볼래
1,시계 어때
0,시계 마음에 들어
1,어떤 시계가 좋아
0,시계 차볼래
1,가방 어때
0,가방 마음에 들어
1,어떤 가방이 좋아
0,가방 들어볼래
1,옷장에 뭐 입을래
1,옷장에 뭐가 좋아
1,옷장에 이 옷 어때
0,옷장에 이 옷 입을래
1,옷 스타일 어때
0,옷 스타일 마음에 들어
1,어떤 옷 스타일이 좋아
0,옷 스타일 바꿔볼래
1,액세서리 어때
0,액세서리 마음에 들어
1,어떤 액세서리가 좋아
0,액세서리 해볼래
1,패션 어때
0,패션 마음에 들어
1,어떤 패션이 좋아
0,패션 바꿔볼래
1,드레스 어때
0,드레스 입어볼래
0,드레스 마음에 들어
1,어떤 드레스가 좋아
1,청바지 어때
0,청바지 입어볼래
0,청바지 마음에 들어
1,어떤 청바지가 좋아
1,티셔츠 어때
0,티셔츠 입어볼래
0,티셔츠 마음에 들어
1,어떤 티셔츠가 좋아
1,조끼 어때
0,조끼 입어볼래
0,조끼 마음에 들어
1,어떤 조끼가 좋아
1,후드티 어때
0,후드티 입어볼래
0,후드티 마음에 들어
1,어떤 후드티가 좋아
1,레깅스 어때
0,레깅스 입어볼래
0,레깅스 마음에 들어
1,어떤 레깅스가 좋아
1,블라우스 어때
0,블라우스 입어볼래
0,블라우스 마음에 들어
1,어떤 블라우스가 좋아
1,점퍼 어때
0,점퍼 입어볼래
0,점퍼 마음에 들어
1,어떤 점퍼가 좋아
1,수트 어때
0,수트 입어볼래
1,수트 마음에 들어
1,어떤 수트가 좋아
1,유니폼 어때
0,유니폼 입어볼래
0,유니폼 마음에 들어
1,어떤 유니폼이 좋아
1,트렌치코트 어때
0,트렌치코트 입어볼래
0,트렌치코트 마음에 들어
1,어떤 트렌치코트가 좋아
1,파카 어때
0,파카 입어볼래
0,파카 마음에 들어
1,어떤 파카가 좋아
1,체크무늬 어때
0,체크무늬 입어볼래
0,체크무늬 마음에 들어
1,어떤 체크무늬가 좋아
1,플로럴 패턴 어때
0,플로럴 패턴 입어볼래
0,플로럴 패턴 마음에 들어
1,어떤 플로럴 패턴이 좋아
1,겨울 옷 어때
0,겨울 옷 입어볼래
0,겨울 옷 마음에 들어
1,어떤 겨울 옷이 좋아
1,여름 옷 어때
0,여름 옷 입어볼래
0,여름 옷 마음에 들어
1,어떤 여름 옷이 좋아
1,봄 옷 어때
0,봄 옷 입어볼래
0,봄 옷 마음에 들어
1,어떤 봄 옷이 좋아
1,가을 옷 어때
0,가을 옷 입어볼래
0,가을 옷 마음에 들어
1,어떤 가을 옷이 좋아
1,기모 옷 어때
0,기모 옷 입어볼래
0,기모 옷 마음에 들어
1,어떤 기모 옷이 좋아
1,린넨 옷 어때
0,린넨 옷 입어볼래
0,린넨 옷 마음에 들어
1,어떤 린넨 옷이 좋아
1,면 옷 어때
0,면 옷 입어볼래
0,면 옷 마음에 들어
1,어떤 면 옷이 좋아
1,폴리 옷 어때
0,폴리 옷 입어볼래
0,폴리 옷 마음에 들어
1,어떤 폴리 옷이 좋아
1,울 옷 어때
0,울 옷 입어볼래
0,울 옷 마음에 들어
1,어떤 울 옷이 좋아
1,캐시미어 옷 어때
0,캐시미어 옷 입어볼래
0,캐시미어 옷 마음에 들어
1,어떤 캐시미어 옷이 좋아
1,니트 옷 어때
0,니트 옷 입어볼래
0,니트 옷 마음에 들어
1,어떤 니트 옷이 좋아
1,가죽 옷 어때
0,가죽 옷 입어볼래
0,가죽 옷 마음에 들어
1,어떤 가죽 옷이 좋아
1,스웨이드 옷 어때
0,스웨이드 옷 입어볼래
0,스웨이드 옷 마음에 들어
1,어떤 스웨이드 옷이 좋아
1,실크 옷 어때
0,실크 옷 입어볼래
0,실크 옷 마음에 들어
1,어떤 실크 옷이 좋아
1,레이스 옷 어때
0,레이스 옷 입어볼래
0,레이스 옷 마음에 들어
1,어떤 레이스 옷이 좋아
1,시폰 옷 어때
0,시폰 옷 입어볼래
0,시폰 옷 마음에 들어
1,어떤 시폰 옷이 좋아
1,데님 옷 어때
0,데님 옷 입어볼래
0,데님 옷 마음에 들어
1,어떤 데님 옷이 좋아
1,벨벳 옷 어때
